,Unnamed: 0,Wall time,Step,Value
0,0,1670895465.431935,0,0.1706528216600418
1,1,1670895725.4684439,1,0.13043831288814545
2,2,1670896008.0781233,2,0.11935003101825715
3,3,1670896299.2318945,3,0.1097855493426323
4,4,1670896599.4871964,4,0.10332642495632173
5,5,1670896893.8521366,5,0.09531236439943314
6,6,1670897183.2073915,6,0.0911105051636696
7,7,1670897477.0677588,7,0.0862681120634079
8,8,1670897764.969408,8,0.08204087615013123
9,9,1670898049.627649,9,0.07846091687679291
10,10,1670898339.889414,10,0.07543035596609116
11,11,1670898626.8641586,11,0.0708487406373024
12,12,1670898917.5821993,12,0.0677562728524208
13,13,1670899202.6176894,13,0.06341511756181717
14,14,1670899481.1027179,14,0.060609802603721626
15,15,1670899763.768465,15,0.058945748955011375
16,16,1670900049.3175645,16,0.0557834729552269
17,17,1670900327.7818944,17,0.052549488842487335
18,18,1670900604.223406,18,0.050536971539258964
19,19,1670900879.6762874,19,0.04854134097695351
20,20,1670901161.9677374,20,0.046501215547323234
21,21,1670901439.6865752,21,0.04262509569525719
22,22,1670901710.4441204,22,0.04134547710418701
23,23,1670901989.7408273,23,0.03709878772497177
24,24,1670902265.5124874,24,0.03582746908068657
25,25,1670902551.2905009,25,0.03350488096475601
26,26,1670902835.5924554,26,0.03212500363588333
27,27,1670903115.7451859,27,0.03068264573812485
28,28,1670903396.4133828,28,0.029296785593032837
29,29,1670903675.7609036,29,0.02817377820611
30,30,1670903957.1389732,30,0.02606716565787792
31,31,1670904242.715822,31,0.02380298264324665
32,32,1670904518.333656,32,0.021376082673668858
33,33,1670904794.4601874,33,0.020145513117313385
34,34,1670905073.9629614,34,0.01944791525602341
35,35,1670905351.2650065,35,0.018093489110469815
36,36,1670905624.7271256,36,0.016633151099085808
37,37,1670905897.5774565,37,0.015834202989935882
38,38,1670906174.7811258,38,0.01576486043632031
39,39,1670906459.9735065,39,0.014716382138431072
40,40,1670906738.7893364,40,0.018094973638653755
41,41,1670907021.0402956,41,0.019459445029497147
42,42,1670907299.5578074,42,0.01563991606235504
43,43,1670907578.3442945,43,0.011988712474703787
44,44,1670907859.134665,44,0.010523512028157713
45,45,1670908146.068426,45,0.009796055965125559
46,46,1670908426.505899,46,0.009229821152985096
47,47,1670908702.9925115,47,0.008666024543344975
48,48,1670908980.0210402,48,0.008266787044703962
49,49,1670909259.7244954,49,0.007925964891910553
50,50,1670909536.6089678,50,0.0076680202037096015
51,51,1670909818.6549118,51,0.008621499873697758
52,52,1670910095.1947794,52,0.008222634904086592
53,53,1670910372.2691016,53,0.006844628602266312
54,54,1670910651.1103663,54,0.006406587548553944
55,55,1670910930.281833,55,0.006135486997663976
56,56,1670911208.3345125,56,0.005947960074990989
57,57,1670911484.6943884,57,0.005804816260933876
58,58,1670911759.9454384,58,0.005672304425388575
59,59,1670912033.4799998,59,0.005439239088445903
60,60,1670912293.372292,60,0.005695668049156666
61,61,1670912557.4051461,61,0.0052642892114818105
62,62,1670912821.9357975,62,0.00578086543828249
63,63,1670913083.7075467,63,0.0052189757116138935
64,64,1670913349.908649,64,0.005742000881582498
65,65,1670913613.4354632,65,0.005278391297906636
66,66,1670913876.8463895,66,0.0045907520689070225
67,67,1670914142.1299033,67,0.0042607514187693605
68,68,1670914403.5536973,68,0.004130770452320576
69,69,1670914667.8452306,69,0.004142143297940492
70,70,1670914931.9186347,70,0.0039589898660779
71,71,1670915200.3250742,71,0.003967362456023693
72,72,1670915462.991025,72,0.003901162417605519
73,73,1670915726.7074034,73,0.0038513175677508116
74,74,1670915991.4288573,74,0.003762971842661501
75,75,1670916255.9038506,75,0.003704779781401157
76,76,1670916516.3782895,76,0.003642154857516289
77,77,1670916774.210488,77,0.0036162845790386204
78,78,1670917035.3207312,78,0.003511436283588409
79,79,1670917301.1805842,79,0.0034832449164241552
80,80,1670917565.1142626,80,0.0034056620206683874
81,81,1670917829.1483364,81,0.003388355951756239
82,82,1670918092.1511393,82,0.0033140061423182487
83,83,1670918358.6896243,83,0.0033135286066681147
84,84,1670918621.582633,84,0.0032550015021115537
85,85,1670918881.3697774,85,0.003203234169632196
86,86,1670919148.6232102,86,0.0032103760167956352
87,87,1670919412.478186,87,0.003203329164534807
88,88,1670919675.7757394,88,0.0031416870187968016
89,89,1670919935.263902,89,0.0031243790872395034
90,90,1670920199.8077226,90,0.0031181478407233953
91,91,1670920461.6646006,91,0.0030985267367213964
92,92,1670920723.9705384,92,0.0030980559531599283
93,93,1670920987.591682,93,0.003095039865002036
94,94,1670921253.2770462,94,0.003060242393985391
95,95,1670921515.214129,95,0.0030747333075851198
96,96,1670921788.9489725,96,0.0030571774113923307
97,97,1670922095.8330026,97,0.003059226321056485
98,98,1670922381.296607,98,0.003031071973964572
99,99,1670922675.463929,99,0.003066485282033682
