,Unnamed: 0,Wall time,Step,Value
0,0,1670895964.4062984,0,-0.028065687045454986
1,1,1670896246.3200915,1,-0.03599109500646591
2,2,1670896533.206423,2,-0.03987545520067215
3,3,1670896826.2945766,3,-0.04278397932648659
4,4,1670897117.6475198,4,-0.044851139187812805
5,5,1670897408.1464038,5,-0.04670403152704239
6,6,1670897694.3681474,6,-0.048349305987358086
7,7,1670897980.5648556,7,-0.04970688745379448
8,8,1670898269.7525742,8,-0.0512198731303215
9,9,1670898557.0649855,9,-0.05240701511502266
10,10,1670898837.5742474,10,-0.05335989594459534
11,11,1670899118.1232467,11,-0.05446866527199745
12,12,1670899402.8913007,12,-0.055291082710027695
13,13,1670899682.10621,13,-0.056606914848089225
14,14,1670899962.7756982,14,-0.057594504207372665
15,15,1670900245.501568,15,-0.0584956593811512
16,16,1670900528.2600086,16,-0.05954999104142189
17,17,1670900804.2717273,17,-0.06047866865992546
18,18,1670901081.2126558,18,-0.0609884150326252
19,19,1670901361.6353195,19,-0.06209223344922065
20,20,1670901632.5990305,20,-0.06266732513904573
21,21,1670901911.7939026,21,-0.06374626606702805
22,22,1670902187.8849134,22,-0.06434916704893112
23,23,1670902467.9097366,23,-0.06485056132078171
24,24,1670902743.872755,24,-0.06604185700416565
25,25,1670903023.127219,25,-0.06636841595172882
26,26,1670903304.5273685,26,-0.06728008389472961
27,27,1670903593.1616347,27,-0.06803441047668457
28,28,1670903864.8392491,28,-0.06871353089809418
29,29,1670904138.5183322,29,-0.06966271251440047
30,30,1670904410.7739336,30,-0.07005733996629715
31,31,1670904690.209493,31,-0.07076937705278398
32,32,1670904964.0731902,32,-0.07167545706033708
33,33,1670905242.905495,33,-0.07180473208427429
34,34,1670905518.2094092,34,-0.07253138720989227
35,35,1670905795.3672435,35,-0.07296856492757797
36,36,1670906073.6023571,36,-0.0739482119679451
37,37,1670906357.4223154,37,-0.07430766522884369
38,38,1670906637.4193506,38,-0.07463517040014267
39,39,1670906917.6468759,39,-0.07527528703212738
40,40,1670907198.1389186,40,-0.07568613439798355
41,41,1670907473.8177946,41,-0.07631611824035645
42,42,1670907758.8576696,42,-0.07680252194404602
43,43,1670908040.8580673,43,-0.07670309394598007
44,44,1670908328.7736928,44,-0.07730292528867723
45,45,1670908608.1118052,45,-0.07812821120023727
46,46,1670908887.0908046,46,-0.07842898368835449
47,47,1670909165.2519279,47,-0.0783633440732956
48,48,1670909449.685648,48,-0.07958071678876877
49,49,1670909735.0131426,49,-0.07892964780330658
50,50,1670910016.395786,50,-0.07997499406337738
51,51,1670910291.3349113,51,-0.07994253188371657
52,52,1670910572.219706,52,-0.07996536791324615
53,53,1670910846.375695,53,-0.08066840469837189
54,54,1670911128.1418927,54,-0.08116546273231506
55,55,1670911406.5395243,55,-0.08144468814134598
56,56,1670911683.4000812,56,-0.08162610232830048
57,57,1670911955.1029232,57,-0.08192159980535507
58,58,1670912217.2572744,58,-0.08186636120080948
59,59,1670912468.7158453,59,-0.08284503221511841
60,60,1670912722.54835,60,-0.08250177651643753
61,61,1670912976.0069613,61,-0.0828847661614418
62,62,1670913230.4525332,62,-0.08343040198087692
63,63,1670913482.2406995,63,-0.0836181715130806
64,64,1670913738.6450622,64,-0.08412696421146393
65,65,1670913995.048589,65,-0.08366648852825165
66,66,1670914254.0697336,66,-0.08466698974370956
67,67,1670914514.350911,67,-0.08400553464889526
68,68,1670914768.2826586,68,-0.08519542217254639
69,69,1670915034.4513571,69,-0.08455415815114975
70,70,1670915291.9470055,70,-0.08556365966796875
71,71,1670915551.310333,71,-0.08498342335224153
72,72,1670915809.8780494,72,-0.08567323535680771
73,73,1670916068.5335932,73,-0.08545033633708954
74,74,1670916321.8108227,74,-0.08574946969747542
75,75,1670916586.9892151,75,-0.08621656894683838
76,76,1670916848.2873876,76,-0.0861518383026123
77,77,1670917105.1465304,77,-0.08617287874221803
78,78,1670917366.3474026,78,-0.08665499836206436
79,79,1670917633.4305954,79,-0.08650477230548859
80,80,1670917894.015349,80,-0.08637489378452301
81,81,1670918154.094229,81,-0.08675910532474518
82,82,1670918418.9967473,82,-0.08670643717050552
83,83,1670918681.0478075,83,-0.08738183975219728
84,84,1670918940.4444518,84,-0.0870044082403183
85,85,1670919200.0287595,85,-0.08707130700349808
86,86,1670919457.9050927,86,-0.08736342936754228
87,87,1670919714.804695,87,-0.0874246209859848
88,88,1670919972.6233225,88,-0.0870785191655159
89,89,1670920227.4371595,89,-0.08731967955827713
90,90,1670920484.1082294,90,-0.08788655698299408
91,91,1670920732.7669039,91,-0.08688566833734512
92,92,1670920991.956052,92,-0.08759869635105133
93,93,1670921248.781261,93,-0.08786336332559586
94,94,1670921510.267359,94,-0.08756363391876221
95,95,1670921785.964408,95,-0.08718554675579071
96,96,1670922096.021386,96,-0.08758637309074402
97,97,1670922408.899858,97,-0.08806789666414261
98,98,1670922720.8782055,98,-0.08780141174793242
99,99,1670922956.7784865,99,-0.08740440756082535
