,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Wall time,Step,Value
78,78,78,78,78,78,78,78,1670917554.3634858,78,0.1024568852968514
79,79,79,79,79,79,79,79,1670917802.4414625,79,0.10243723276071252
80,80,80,80,80,80,80,80,1670918055.8795373,80,0.10240734056569636
81,81,81,81,81,81,81,81,1670918304.6363127,81,0.10237405602820218
82,82,82,82,82,82,82,82,1670918550.4446747,82,0.10236845179460943
83,83,83,83,83,83,83,83,1670918801.7495966,83,0.10234694359824062
84,84,84,84,84,84,84,84,1670919053.6901195,84,0.10230753072537482
85,85,85,85,85,85,85,85,1670919305.9457812,85,0.10229669036343694
86,86,86,86,86,86,86,86,1670919562.055168,86,0.10229377625510096
87,87,87,87,87,87,87,87,1670919817.7292097,87,0.102263521309942
88,88,88,88,88,88,88,88,1670920071.9763162,88,0.10227513746358456
89,89,89,89,89,89,89,89,1670920333.8336625,89,0.10221580686047674
90,90,90,90,90,90,90,90,1670920590.686814,90,0.1022423854097724
91,91,91,91,91,91,91,91,1670920845.313777,91,0.10224781595170497
92,92,92,92,92,92,92,92,1670921102.3181715,92,0.10218560663051904
93,93,93,93,93,93,93,93,1670921364.009862,93,0.10222930405288937
94,94,94,94,94,94,94,94,1670921622.9073787,94,0.10220930576324463
95,95,95,95,95,95,95,95,1670921886.4054801,95,0.10220581330358984
96,96,96,96,96,96,96,96,1670922151.205099,96,0.1021950521040708
97,97,97,97,97,97,97,97,1670922430.7242253,97,0.10220679142512383
98,98,98,98,98,98,98,98,1670922681.5973868,98,0.10219417619518936
99,99,99,99,99,99,99,99,1670922920.8146186,99,0.10221361732110383
